,Made Donation in March 2007
659,0.512811118
276,0.158846122
263,0.189092392
303,0.370838607
83,0.572979277
500,0.715012668
530,0.290473456
244,0.07376134
249,0.010869153
728,0.064628698
129,0.1732419
534,0.145526372
317,0.252789623
401,0.189092392
696,0.30871814
192,0.095152804
176,0.281411021
571,0.450974196
139,0.079696361
423,0.316659073
563,0.506927333
56,0.35581857
528,0.435119338
101,0.189092392
467,0.233444857
382,0.252542241
466,0.304748299
294,0.07376134
512,0.302992744
659,0.512811118
389,0.273327651
487,0.040014704
701,0.243586258
419,0.257577274
536,0.125716426
240,0.302177434
508,0.158007151
515,0.07376134
283,0.402366907
650,0.189092392
65,0.348227189
228,0.182041645
741,0.057142378
297,0.428789742
464,0.114167991
63,0.243586258
231,0.385378287
28,0.103218067
248,0.07376134
357,0.19762745
300,0.527099843
726,0.455600469
680,0.180512036
520,0.330334644
254,0.042076838
582,0.210178364
143,0.209219175
98,0.467828579
1,0.311229568
221,0.500036465
352,0.189092392
64,0.07922247
138,0.244254865
745,0.371789232
64,0.07922247
688,0.079256003
623,0.086000751
289,0.20493242
174,0.354575195
690,0.189092392
105,0.196872792
427,0.163789117
48,0.014813896
14,0.189092392
657,0.056674958
301,0.138633712
455,0.123032433
579,0.257055626
722,0.128634972
98,0.467828579
491,0.014813896
303,0.370838607
466,0.304748299
65,0.348227189
300,0.527099843
9,0.042678324
622,0.095152804
323,0.081344291
289,0.20493242
568,0.368216851
290,0.189092392
156,0.095311926
464,0.114167991
426,0.105133874
306,0.289919146
4,0.344854824
12,0.385042106
187,0.272282141
406,0.088225258
96,0.290473456
509,0.243586258
733,0.136770891
548,0.072818916
478,0.249545494
501,0.138138244
127,0.471106615
199,0.176210264
299,0.476068191
162,0.189092392
235,0.131988056
23,0.156179824
473,0.189092392
487,0.040014704
683,0.488312377
303,0.370838607
309,0.0470337
569,0.036829508
34,0.447628904
686,0.634897659
84,0.237918533
733,0.136770891
537,0.538933488
181,0.163726178
453,0.736898332
67,0.454963694
161,0.402170831
307,0.288102275
703,0.155848269
181,0.163726178
246,0.122661483
316,0.393827803
278,0.095152804
346,0.197304744
545,0.189092392
419,0.257577274
694,0.290473456
622,0.095152804
663,0.041959276
262,0.672538415
461,0.222780186
373,0.672406872
233,0.189092392
466,0.304748299
207,0.209219175
263,0.189092392
16,0.036829508
513,0.066539701
449,0.320607308
429,0.032151739
701,0.243586258
632,0.042566938
529,0.630743344
245,0.345175611
344,0.161926059
353,0.138603471
241,0.266932615
633,0.062721729
624,0.243586258
726,0.455600469
189,0.095152804
138,0.244254865
402,0.07376134
511,0.436784582
590,0.496080771
334,0.170109084
447,0.06276365
119,0.304748299
389,0.273327651
644,0.189092392
423,0.316659073
131,0.036829508
405,0.014010742
82,0.189092392
643,0.593471297
156,0.095311926
617,0.067294721
574,0.408807962
272,0.237813723
613,0.054740684
545,0.189092392
685,0.07376134
570,0.20596863
537,0.538933488
691,0.062721729
85,0.412991185
483,0.122661483
455,0.123032433
93,0.095152804
744,0.243586258
33,0.122661483
321,0.614531913
523,0.210790856
426,0.105133874
196,0.083812701
301,0.138633712
103,0.062721729
224,0.068870408
454,0.138656516
585,0.055070872
154,0.339519763
